lat_round,lng_round,ref_num,surge,dt_str
40.74,-73.985,36,2.0,05_25_2016_17_16_01
40.74,-73.98,37,2.0,05_25_2016_17_16_01
40.74,-73.975,38,2.0,05_25_2016_17_16_01
40.745,-73.995,39,2.0,05_25_2016_17_16_01
40.745,-73.99,40,2.1,05_25_2016_17_16_01
40.745,-73.985,41,2.1,05_25_2016_17_16_01
40.745,-73.98,42,2.1,05_25_2016_17_16_01
40.745,-73.975,43,2.1,05_25_2016_17_16_01
40.75,-74.005,44,2.2,05_25_2016_17_16_01
40.75,-73.995,45,2.2,05_25_2016_17_16_01
40.75,-73.99,46,2.1,05_25_2016_17_16_01
40.75,-73.985,47,2.1,05_25_2016_17_16_01
40.75,-73.98,48,2.1,05_25_2016_17_16_01
40.75,-73.975,49,2.1,05_25_2016_17_16_01
40.755,-73.995,50,2.2,05_25_2016_17_16_01
40.755,-73.99,51,2.2,05_25_2016_17_16_01
40.755,-73.985,52,2.1,05_25_2016_17_16_01
40.755,-73.98,53,2.1,05_25_2016_17_16_01
40.755,-73.975,54,2.1,05_25_2016_17_16_01
40.755,-73.97,55,2.1,05_25_2016_17_16_01
40.755,-73.965,56,2.0,05_25_2016_17_16_01
40.76,-73.995,57,2.1,05_25_2016_17_16_01
40.76,-73.99,58,2.1,05_25_2016_17_16_01
40.76,-73.985,59,2.1,05_25_2016_17_16_01
40.76,-73.98,60,2.1,05_25_2016_17_16_01
40.76,-73.975,61,2.1,05_25_2016_17_16_01
40.76,-73.97,62,2.1,05_25_2016_17_16_01
40.76,-73.965,63,2.0,05_25_2016_17_16_01
40.765,-73.99,64,2.1,05_25_2016_17_16_01
40.765,-73.985,65,2.1,05_25_2016_17_16_01
40.765,-73.98,66,2.1,05_25_2016_17_16_01
40.765,-73.975,67,2.1,05_25_2016_17_16_01
40.765,-73.97,68,2.1,05_25_2016_17_16_01
40.77,-73.995,69,1.8,05_25_2016_17_16_01
40.77,-73.99,70,1.9,05_25_2016_17_16_01
40.77,-73.985,71,2.1,05_25_2016_17_16_01
40.77,-73.965,72,1.8,05_25_2016_17_16_01
40.77,-73.96,73,1.8,05_25_2016_17_16_01
40.77,-73.955,74,1.7,05_25_2016_17_16_01
40.775,-73.98,75,1.8,05_25_2016_17_16_01
40.775,-73.965,76,1.7,05_25_2016_17_16_01
40.775,-73.955,77,1.7,05_25_2016_17_16_01
40.78,-73.98,78,1.6,05_25_2016_17_16_01
40.78,-73.96,79,1.6,05_25_2016_17_16_01
40.78,-73.955,80,1.7,05_25_2016_17_16_01
40.78,-73.95,81,1.6,05_25_2016_17_16_01
40.785,-73.975,82,1.4,05_25_2016_17_16_01
40.79,-73.975,83,1.2,05_25_2016_17_16_01
40.79,-73.945,84,1.6,05_25_2016_17_16_01
40.795,-73.97,85,1.2,05_25_2016_17_16_01
40.795,-73.945,86,1.4,05_25_2016_17_16_01
40.8,-73.965,87,1.2,05_25_2016_17_16_01
40.8,-73.955,88,1.2,05_25_2016_17_16_01
40.8,-73.94,89,1.6,05_25_2016_17_16_01
40.805,-73.955,90,1.4,05_25_2016_17_16_01
40.805,-73.94,91,1.5,05_25_2016_17_16_01
40.81,-73.96,92,1.4,05_25_2016_17_16_01
40.81,-73.95,93,1.4,05_25_2016_17_16_01
40.815,-73.94,94,1.5,05_25_2016_17_16_01
40.82,-73.955,95,1.2,05_25_2016_17_16_01
40.82,-73.95,96,1.2,05_25_2016_17_16_01
40.82,-73.94,97,1.2,05_25_2016_17_16_01
40.825,-73.94,98,1.0,05_25_2016_17_16_01
40.83,-73.94,99,1.0,05_25_2016_17_16_01
40.835,-73.94,100,1.0,05_25_2016_17_16_01
40.845,-73.935,101,1.0,05_25_2016_17_16_01
40.85,-73.935,102,1.0,05_25_2016_17_16_01
40.855,-73.93,103,1.0,05_25_2016_17_16_01
40.865,-73.92,104,1.0,05_25_2016_17_16_01
40.87,-73.915,105,1.0,05_25_2016_17_16_01
